\STAR_ID                                  = "Gamma 1 Leo"
\DATA_CATEGORY                            = "Planet Radial Velocity Curve"
\NUMBER_OF_POINTS                         = "205"
\TIME_REFERENCE_FRAME                     = "HJD"
\MINIMUM_DATE                             = "2452776.107091"
\DATE_UNITS                               = "days"
\MAXIMUM_DATE                             = "2454971.053095"
\MINIMUM_VALUE                            = "-90.50"
\VALUE_UNITS                              = "m/s"
\MAXIMUM_VALUE                            = "455.70"
\REFERENCE                                = "Han et al. 2010 (A&A, 509, 24)"
\BIBCODE                                  = "2010A&A...509A..24H"
\TELESCOPE                                = "1.8m"
\INSTRUMENT                               = "BOES"
\WAVELENGTH_CALIBRATION_TECHNIQUE         = "Iodine"
\OBSERVATORY_SITE                         = "Bohyunsan Optical Astronomy Observatory (BOAO), Korea"
\COLUMN_RADIAL_VELOCITY                   = "Radial velocity relative to barycenter"
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY       = "Uncertainty in RADIAL_VELOCITY"
|            HJD | Radial_Velocity | Radial_Velocity_Uncertainty |
|         double |          double |                      double |
|           days |             m/s |                         m/s |
  2454618.047056             -8.30                          5.90
  2454618.048942            -10.70                          6.10
  2454618.997301            -56.60                          7.10
  2454619.002659            -60.40                          6.70
  2454834.279749            455.70                          5.00
  2454834.281566            451.10                          4.60
  2454847.269458            376.20                          5.40
  2454847.271253            374.20                          5.20
  2454847.273047            376.50                          5.10
  2454847.274841            372.40                          5.50
  2454879.093335            414.40                          5.50
  2454879.095950            409.00                          5.70
  2454929.088055            367.40                         12.20
  2454929.093321            376.20                          9.90
  2454930.056224            351.70                          6.70
  2454930.058573            346.60                          6.00
  2454971.053095            271.20                          6.50
