\STAR_ID                                  = "HD 83443"
\DATA_CATEGORY                            = "Planet Radial Velocity Curve"
\NUMBER_OF_POINTS                         = "257"
\TIME_REFERENCE_FRAME                     = "BJD"
\MINIMUM_DATE                             = "2451262.6180"
\DATE_UNITS                               = "days"
\MAXIMUM_DATE                             = "2452717.6163"
\MINIMUM_VALUE                            = "28955.00"
\VALUE_UNITS                              = "m/s"
\MAXIMUM_VALUE                            = "29098.00"
\REFERENCE                                = "Mayor et al. 2004 (A&A, 415, 391)"
\BIBCODE                                  = "2004A&A...415..391M"
\TELESCOPE                                = "1.2m Euler Swiss telescope"
\INSTRUMENT                               = "CORALIE"
\WAVELENGTH_CALIBRATION_TECHNIQUE         = "Thorium Argon"
\OBSERVATORY_SITE                         = "ESO La Silla, Chile"
\COLUMN_RADIAL_VELOCITY                   = "Radial velocity relative to barycenter"
\COLUMN_RADIAL_VELOCITY_UNCERTAINTY       = "Uncertainty in RADIAL_VELOCITY"
|          BJD | Radial_Velocity | Radial_Velocity_Uncertainty |
|       double |          double |                      double |
|         days |             m/s |                         m/s |
  2452074.4981          29031.00                          5.00
  2452075.4876          28985.00                          6.00
  2452075.5008          28987.00                          5.00
  2452081.4806          28982.00                          5.00
  2452082.4776          29089.00                          5.00
  2452086.4855          29007.00                          5.00
  2452091.4566          29077.00                          6.00
  2452288.7882          29088.00                          4.00
  2452291.7620          29088.00                          5.00
  2452305.7744          29033.00                          5.00
  2452306.7880          29076.00                          4.00
  2452308.7693          29032.00                          4.00
  2452315.6964          29085.00                          4.00
  2452316.7639          28983.00                          4.00
  2452317.7017          29027.00                          5.00
  2452318.7585          29076.00                          4.00
  2452319.7110          28981.00                          4.00
  2452320.7032          29025.00                          4.00
  2452321.6945          29079.00                          4.00
  2452322.7237          28977.00                          4.00
  2452323.7763          29046.00                          4.00
  2452324.7238          29080.00                          4.00
  2452325.7284          28984.00                          4.00
  2452326.6817          29032.00                          4.00
  2452326.6949          29033.00                          4.00
  2452327.6972          29085.00                          4.00
  2452328.7571          28965.00                          5.00
  2452343.6501          28974.00                          4.00
  2452344.7692          29052.00                          5.00
  2452346.6481          28980.00                          4.00
  2452347.7199          29035.00                          4.00
  2452370.6186          28973.00                          5.00
  2452371.5871          29030.00                          5.00
  2452372.6096          29065.00                          5.00
  2452373.5811          28964.00                          6.00
  2452402.5836          29045.00                          6.00
  2452405.5205          29061.00                          5.00
  2452406.5912          28980.00                          5.00
  2452406.6049          28972.00                          6.00
  2452411.5830          29078.00                          7.00
  2452411.5968          29058.00                          5.00
